iter	Logloss
0	0.6655449492
1	0.6404178919
2	0.6215906297
3	0.6029818702
4	0.5757751567
5	0.5628853631
6	0.5497878289
7	0.5369116254
8	0.5249958209
9	0.5151227672
10	0.5042372925
11	0.4949366312
12	0.487219148
13	0.4783409083
14	0.4629622136
15	0.4541925688
16	0.4439891304
17	0.4372991242
18	0.427323126
19	0.4177771546
20	0.4114686493
21	0.4070914405
22	0.4032474719
23	0.3976358551
24	0.3927207202
25	0.388549255
26	0.3815210105
27	0.3736917527
28	0.3706809107
29	0.366344946
30	0.3626602199
31	0.3577333817
32	0.3535789989
33	0.3501242032
34	0.3465900301
35	0.3431149047
36	0.3397734048
37	0.3378340218
38	0.3331270226
39	0.3297018844
40	0.3252298963
41	0.3228533727
42	0.3200130201
43	0.317798613
44	0.3144718537
45	0.3108304701
46	0.3082497701
47	0.3062173392
48	0.3043413686
49	0.301758471
50	0.2999856063
51	0.2982157559
52	0.2962215261
53	0.2939613386
54	0.2912518369
55	0.2893634779
56	0.2876194425
57	0.2863899881
58	0.2831999667
59	0.2808705003
60	0.2787520359
61	0.2759378978
62	0.2745218947
63	0.2720383965
64	0.2709626083
65	0.2693929608
66	0.2684230289
67	0.2674502601
68	0.2659859639
69	0.2651424638
70	0.2638063285
71	0.2624609919
72	0.2610938309
73	0.2595696299
74	0.2583758695
75	0.2570023033
76	0.2555356141
77	0.2538522021
78	0.2528018172
79	0.2509194689
80	0.2495210923
81	0.2480351753
82	0.2465609114
83	0.2453373808
84	0.2440972994
85	0.24271742
86	0.2422038147
87	0.2402799532
88	0.2396690318
89	0.2385682393
90	0.2376018062
91	0.2368773509
92	0.2363058769
93	0.235323266
94	0.2344960138
95	0.2334688974
96	0.2320459396
97	0.230704466
98	0.2294282657
99	0.2283967646
