iter	Passed	Remaining
0	159	15807
1	168	8256
2	173	5615
3	177	4253
4	179	3416
5	182	2862
6	186	2475
7	188	2170
8	191	1933
9	193	1742
10	195	1585
11	198	1454
12	202	1353
13	204	1257
14	207	1173
15	209	1099
16	211	1034
17	214	977
18	217	928
19	220	880
20	222	837
21	225	798
22	227	761
23	230	729
24	233	701
25	236	672
26	238	645
27	241	620
28	243	596
29	247	577
30	250	557
31	252	537
32	255	518
33	257	499
34	259	482
35	262	466
36	265	451
37	267	436
38	270	422
39	272	409
40	275	395
41	277	383
42	280	372
43	283	360
44	285	349
45	288	338
46	290	327
47	293	317
48	296	308
49	299	299
50	301	290
51	304	281
52	307	272
53	309	263
54	312	255
55	315	248
56	318	240
57	321	232
58	324	225
59	326	217
60	329	210
61	332	204
62	335	197
63	338	190
64	340	183
65	343	176
66	346	170
67	349	164
68	352	158
69	354	152
70	357	146
71	361	140
72	364	134
73	367	129
74	370	123
75	373	117
76	377	112
77	380	107
78	383	102
79	387	96
80	392	91
81	395	86
82	399	81
83	403	76
84	408	72
85	413	67
86	419	62
87	425	57
88	430	53
89	435	48
90	440	43
91	447	38
92	454	34
93	461	29
94	467	24
95	471	19
96	475	14
97	480	9
98	485	4
99	489	0
