soil_type,state,district,season,temperature,rainfall,humidity,water_availability,farm_size,previous_crop,target_crop,suitable
Loamy,Haryana,Ludhiana,Zaid,37.0,105.9,43.6,Medium,14.1,wheat,wheat,0
Alluvial,Madhya Pradesh,Karnal,Zaid,35.5,143.2,42.7,Medium,11.1,tomato,tomato,0
Black,Madhya Pradesh,Manchar,Kharif,28.6,984.1,82.7,Low,6.1,wheat,rose,1
Clayey,Gujarat,Jaipur,Zaid,36.5,11.0,25.9,Medium,5.8,tomato,cotton,0
Sandy,Uttar Pradesh,Pune,Kharif,27.0,873.0,81.6,Medium,2.4,rice,rice,0
Sandy,Karnataka,Manchar,Rabi,22.4,256.8,57.7,High,2.3,none,sugarcane,0
Clayey,Haryana,Rampur,Rabi,16.4,134.9,61.1,Low,9.5,banana,potato,0
Loamy,Haryana,Ludhiana,Zaid,34.8,55.9,42.1,High,15.4,maize,rice,0
Alluvial,Tamil Nadu,Lucknow,Rabi,18.0,332.3,49.4,Low,3.1,potato,cotton,0
Black,Uttar Pradesh,Nilokheri,Zaid,36.4,26.9,25.4,High,8.8,banana,rose,0
Loamy,Gujarat,Pune,Rabi,20.2,238.4,61.7,Medium,6.8,maize,rose,1
Black,Karnataka,Ludhiana,Kharif,25.6,984.8,76.4,High,12.2,potato,mustard,0
Black,Andhra Pradesh,Kolar,Kharif,31.0,1181.0,71.2,Low,6.5,sugarcane,mustard,0
Loamy,Rajasthan,Pune,Rabi,16.0,353.1,66.1,High,11.7,wheat,soybean,0
Loamy,Andhra Pradesh,Coimbatore,Zaid,34.3,93.3,41.9,Medium,11.9,potato,wheat,0
Black,Madhya Pradesh,Jaipur,Kharif,28.6,823.4,79.1,High,3.2,rice,cotton,1
Loamy,Tamil Nadu,Manchar,Kharif,32.4,1082.0,86.8,Medium,12.0,mustard,banana,1
Red,Uttar Pradesh,Rampur,Kharif,31.1,1190.3,76.8,Low,14.2,none,rice,0
Red,Uttar Pradesh,Nilokheri,Rabi,17.9,0.0,75.6,High,11.3,maize,mustard,1
Alluvial,Uttar Pradesh,Rampur,Kharif,30.3,1122.9,78.5,Low,0.5,rice,rose,1
Loamy,Madhya Pradesh,Manchar,Kharif,29.3,1469.5,81.8,High,5.9,potato,cotton,1
Red,Punjab,Manchar,Rabi,15.6,341.5,55.0,Medium,9.3,tomato,rice,0
Sandy,Gujarat,Ludhiana,Kharif,28.4,1124.3,82.6,Low,11.9,rice,rice,0
Alluvial,Madhya Pradesh,Pune,Kharif,27.9,1002.0,78.4,Low,2.1,sugarcane,soybean,0
Red,Andhra Pradesh,Coimbatore,Kharif,30.9,1101.3,81.3,Low,7.1,none,wheat,0
Clayey,Karnataka,Jaipur,Zaid,33.2,66.3,40.8,Medium,4.8,rice,wheat,0
Sandy,Punjab,Manchar,Zaid,35.7,155.4,49.0,High,8.7,banana,wheat,1
Loamy,Punjab,Rajkot,Kharif,30.8,620.3,79.6,High,7.9,potato,rice,0
Sandy,Rajasthan,Rajkot,Zaid,36.1,72.3,69.6,High,9.2,none,banana,0
Black,Rajasthan,Coimbatore,Kharif,29.9,1385.7,74.2,High,11.0,rice,rose,1
Clayey,Tamil Nadu,Jaipur,Zaid,37.6,136.1,35.9,High,2.4,rose,rose,0
Alluvial,Punjab,Coimbatore,Zaid,37.2,40.4,66.9,Medium,5.7,rice,wheat,0
Red,Rajasthan,Pune,Rabi,18.3,94.9,55.0,High,8.3,maize,sugarcane,0
Alluvial,Rajasthan,Rampur,Kharif,26.8,870.1,82.4,High,14.2,rose,soybean,1
Alluvial,Gujarat,Pune,Rabi,15.7,331.4,56.8,Medium,3.1,sugarcane,wheat,1
Alluvial,Maharashtra,Coimbatore,Kharif,30.7,698.1,86.5,Medium,8.7,maize,sugarcane,0
Loamy,Madhya Pradesh,Nilokheri,Zaid,36.5,30.5,52.8,Medium,2.7,cotton,wheat,0
Alluvial,Andhra Pradesh,Rampur,Kharif,31.6,1162.6,81.5,Low,9.4,potato,tomato,1
Clayey,Madhya Pradesh,Rampur,Kharif,28.0,1173.3,81.2,High,5.1,soybean,rice,1
Alluvial,Andhra Pradesh,Karnal,Zaid,39.7,32.3,49.7,High,10.6,mustard,rice,0
Red,Gujarat,Manchar,Zaid,34.1,126.3,52.9,High,4.7,banana,rice,0
Red,Andhra Pradesh,Rampur,Rabi,20.9,332.2,64.1,Medium,15.6,wheat,rose,1
Black,Uttar Pradesh,Coimbatore,Kharif,29.3,877.6,76.2,Low,4.7,rose,maize,1
Alluvial,Punjab,Jaipur,Zaid,35.8,91.1,48.4,Low,11.3,rice,rice,0
Red,Uttar Pradesh,Pune,Rabi,18.0,223.5,74.5,High,18.9,wheat,potato,1
Clayey,Madhya Pradesh,Lucknow,Zaid,37.3,37.2,36.4,Low,9.9,soybean,tomato,0
